"id","name","latitude","longitude","property_type","room_type","price","accommodates","bedrooms","beds","bathrooms","shared_bathroom","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Kitchen","Wifi","Air_conditioning","Elevator","Dishes_and_silverware","Washer","Body_soap","Microwave","Paid_parking_off_premises","total_amenities","short_term_availability","long_term_availability","years","host_id","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified"
16695,"DUPLEX LOFT 2 - SAN TELMO",-34.61439,-58.37611,"Entire loft","Entire home/apt",10354,4,1,1,1,"No",2,1125,46,4.28,4.59,4.29,4.83,4.8,4.39,4.41,"TRUE","1","1","1","0","1","0","0","1","1",6,"0","0",13.3780821917808,64880,"within an hour",1,1,"FALSE","TRUE"
148284,"Sunny Terrace Apart. in Downtown BA",-34.61331,-58.38491,"Entire rental unit","Entire home/apt",6833,4,1,1,1,"No",2,1125,273,4.72,4.68,4.59,4.86,4.83,4.62,4.72,"TRUE","1","1","0","1","1","0","0","1","1",6,"0","0",12.2,407702,"within a day",0.9,0.83,"FALSE","TRUE"
23798,"STUNNING-LIGHT-SPACIOUS LOFT STYLE APT- SAN TELMO",-34.61266,-58.37479,"Entire condo","Entire home/apt",14501,3,2,3,1,"No",3,180,58,4.89,4.9,4.88,4.91,5,4.88,4.86,"FALSE","1","1","0","0","1","0","1","1","1",6,"0","0",12.2,408551,"within an hour",1,1,"TRUE","TRUE"
31514,"BEAUTY DUPLEX LOFT #4 SAN TELMO",-34.61494,-58.37517,"Entire loft","Entire home/apt",9347,5,1,4,1,"No",2,365,35,4.26,4.44,4.03,4.76,4.67,4.33,4.39,"TRUE","1","1","1","0","1","0","0","0","1",5,"0","1",13.3780821917808,64880,"within an hour",1,1,"FALSE","TRUE"
42450,"French Classic in San Telmo: Balcony over Defensa!",-34.61578,-58.37175,"Entire condo","Entire home/apt",16152,4,2,2,2,"No",4,1125,151,4.81,4.9,4.73,4.92,4.96,4.94,4.83,"FALSE","1","1","1","1","1","1","0","1","1",8,"0","0",12.772602739726,185437,"within an hour",1,1,"FALSE","TRUE"
362556,"Sunny Terrace Apart in Center BA",-34.61554,-58.38486,"Entire rental unit","Entire home/apt",10354,4,1,2,1,"No",2,365,145,4.79,4.79,4.76,4.96,4.89,4.73,4.66,"TRUE","1","1","0","1","1","0","0","1","1",6,"1","1",12.2,407702,"within a day",0.9,0.83,"FALSE","TRUE"
176318,"San Telmo Vintage - Art Experience Fully Renovated",-34.6156,-58.36843,"Entire rental unit","Entire home/apt",11596,4,2,2,1,"No",4,90,195,4.79,4.85,4.83,4.88,4.91,4.73,4.76,"TRUE","1","1","0","1","1","0","0","1","0",5,"0","1",11.8,843196,"within an hour",1,1,"TRUE","TRUE"
53097,"Duplex-Loft in  Historic Quartier of Buenos Aires",-34.61494,-58.37517,"Entire loft","Entire home/apt",10354,4,2,3,1,"No",2,1125,37,4.28,4.48,4.24,4.55,4.64,4.3,4.24,"TRUE","1","1","1","0","1","0","0","0","1",5,"1","1",13.3780821917808,64880,"within an hour",1,1,"FALSE","TRUE"
69086,"Little Duplex Loft (1) San Telmo",-34.61495,-58.37517,"Entire loft","Entire home/apt",8283,2,1,2,1,"No",2,1125,39,4.32,4.58,4.29,4.82,4.81,4.64,4.5,"TRUE","1","1","0","0","1","0","0","1","1",5,"0","1",13.3780821917808,64880,"within an hour",1,1,"FALSE","TRUE"
413662,"SALE!!! DOWNTOWN, 2 ROOMS  APT., 4,7 STARS",-34.61123,-58.38373,"Entire condo","Entire home/apt",7248,2,1,1,1,"No",7,180,460,4.47,4.66,4.65,4.68,4.72,4.6,4.61,"TRUE","1","1","1","1","1","0","0","1","1",7,"1","1",11.1287671232877,1985312,"within an hour",1,1,"FALSE","TRUE"
415298,"Three storey Garden Castillito",-34.61481,-58.37701,"Entire rental unit","Entire home/apt",16802,5,2,3,2,"No",2,365,122,4.75,4.92,4.79,4.95,4.91,4.69,4.69,"FALSE","1","1","0","0","1","0","0","1","1",5,"0","0",11.4849315068493,1399393,"within an hour",1,1,"TRUE","TRUE"
81120,"Avenida 9 de Julio, departamento con vista a la av",-34.6115531921387,-58.3818511962891,"Entire serviced apartment","Entire home/apt",6833,4,1,3,1,"No",1,1125,21,4.57,4.43,4.52,4.81,4.67,4.76,4.62,"FALSE","1","1","1","1","1","0","1","1","0",7,"1","1",12.1534246575342,439345,"within an hour",1,1,"FALSE","TRUE"
301727,"Equipped & Serviced Suite for Family / Group",-34.61061,-58.38073,"Entire serviced apartment","Entire home/apt",5384,4,2,3,1,"No",1,90,99,4.48,4.44,4.72,4.77,4.72,4.75,4.44,"TRUE","1","0","0","1","1","0","0","1","0",4,"1","1",11.3479452054795,1554264,"within an hour",1,0.98,"FALSE","TRUE"
771408,"Fantastic Loft style, Historic BA",-34.61033,-58.38629,"Entire rental unit","Entire home/apt",14495,6,4,4,2,"No",5,1125,34,4.47,4.73,4.64,4.88,5,4.48,4.61,"FALSE","1","1","0","0","1","1","0","0","0",4,"0","1",13.1561643835616,91936,"within an hour",1,0.96,"FALSE","TRUE"
590806,"Rinconcito Porteño en el centro de la ciudad",-34.61732,-58.39051,"Entire condo","Entire home/apt",6212,1,1,1,1,"No",1,30,41,4.44,4.6,4.67,4.85,4.64,4.51,4.42,"FALSE","1","1","0","1","1","0","0","1","0",5,"1","1",11.1424657534247,1933761,"within a day",0.5,0.4,"FALSE","FALSE"
930911,"The beautiful bulin by street Solis",-34.61277,-58.39043,"Entire rental unit","Entire home/apt",5059,2,1,1,1.5,"No",2,60,246,4.72,4.8,4.66,4.9,4.88,4.8,4.69,"FALSE","1","1","1","1","1","0","0","1","1",7,"1","1",10.2356164383562,5032869,"within an hour",1,1,"FALSE","TRUE"
795812,"ECONOMICA con estudiantes internacionales/centro!",-34.61541,-58.3789,"Private room in rental unit","Private room",3520,1,4,1,1,"Yes",14,1125,4,5,4.75,4.5,5,5,5,4.75,"FALSE","1","1","0","1","0","1","0","0","0",4,"1","0",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
801408,"Centro Hist Gran depto c/terraza 5P",-34.60861,-58.38385,"Entire rental unit","Entire home/apt",12277,6,2,5,2.5,"No",4,1125,80,4.86,4.9,4.91,4.97,4.94,4.81,4.9,"FALSE","1","1","1","1","1","1","0","1","1",8,"1","1",10.7506849315069,3176432,"within an hour",1,0.91,"TRUE","TRUE"
681263,"1 Bedroom Apartment in Buenos Aires",-34.61171,-58.37793,"Entire rental unit","Entire home/apt",13460,4,1,2,1,"No",1,1125,10,4.56,4.4,4.4,4.3,4.6,4.7,4.3,"FALSE","1","1","1","1","1","0","0","1","1",7,"1","1",10.6712328767123,3469227,"within an hour",1,0.92,"FALSE","TRUE"
833347,"Sunny, large & lovely! 2BR flat in San Telmo",-34.61357,-58.37685,"Entire rental unit","Entire home/apt",7848,4,2,2,1.5,"No",10,999,10,4.5,4.5,3.7,4.9,4.7,4.6,4.1,"FALSE","1","1","1","1","1","1","0","1","1",8,"0","1",11.0493150684932,2178724,"within a few hours",1,0.65,"TRUE","TRUE"
1009030,"Double ensuite rooms at Sabatico Hostel",-34.61652,-58.38635,"Room in hostel","Hotel room",13017,2,1,1,1,"No",1,365,6,4.5,4.33,4.5,5,4.5,4.83,4.33,"TRUE","1","1","1","0","1","0","0","1","1",6,"0","0",10.5616438356164,3871145,"within an hour",0.62,0.85,"FALSE","TRUE"
734510,"1 Bedroom Apartment in Buenos Aires",-34.61171,-58.37793,"Entire rental unit","Entire home/apt",13460,4,1,3,1,"No",1,1125,6,4.33,4.67,4,4.67,4.17,4.5,4.33,"FALSE","1","1","1","1","1","0","0","1","1",7,"1","1",10.6712328767123,3469227,"within an hour",1,0.92,"FALSE","TRUE"
